                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2651,                  1.412,                 1.2731,                0.70328,                0.73722,                0.79376,                0.65718,                0.67495,                0.85167,                0.94275,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2038,                   1.08,                 1.1868,                0.69693,                0.74021,                0.78961,                0.64612,                 0.6912,                0.83652,                0.96332,              0.0065992,              0.0065992,              0.0065992
                      3,                 1.1978,                 1.0543,                 1.1975,                0.68079,                0.73238,                0.77555,                0.62932,                0.70838,                0.84072,                0.98242,              0.0098005,              0.0098005,              0.0098005
                      4,                 1.1718,                  1.024,                  1.194,                0.70127,                0.75671,                0.80154,                0.67173,                 0.6499,                0.76369,                0.94893,               0.009703,               0.009703,               0.009703
                      5,                 1.1262,                 0.9802,                 1.1702,                0.69977,                0.75591,                0.80533,                0.68324,                0.61396,                0.76918,                0.94374,               0.009604,               0.009604,               0.009604
                      6,                 1.1001,                 0.9553,                 1.1569,                0.71442,                0.76148,                0.81182,                0.69724,                0.59544,                0.73572,                0.92853,               0.009505,               0.009505,               0.009505
                      7,                 1.0726,                0.93183,                 1.1398,                 0.7253,                0.76965,                0.82761,                 0.7156,                 0.5643,                0.71653,                0.91217,               0.009406,               0.009406,               0.009406
                      8,                 1.0456,                0.91445,                 1.1269,                 0.7155,                0.77867,                0.82718,                0.71662,                0.57254,                0.70661,                0.91494,               0.009307,               0.009307,               0.009307
                      9,                 1.0265,                0.89999,                 1.1161,                 0.7358,                0.77109,                0.83472,                0.73083,                0.54503,                 0.6801,                0.90351,               0.009208,               0.009208,               0.009208
                     10,                 1.0088,                0.89114,                 1.1079,                0.72665,                0.78979,                0.83731,                0.73505,                0.54017,                0.67051,                0.90294,               0.009109,               0.009109,               0.009109
                     11,                0.99364,                0.87781,                 1.1002,                0.73855,                0.77963,                0.84491,                0.74327,                0.52903,                0.66156,                0.89808,                0.00901,                0.00901,                0.00901
                     12,                0.98287,                0.86962,                 1.0956,                0.72895,                0.79371,                0.84497,                0.74451,                0.52767,                0.65498,                 0.8962,               0.008911,               0.008911,               0.008911
                     13,                0.97314,                0.86204,                 1.0904,                0.73017,                0.79776,                0.84761,                0.75016,                0.51926,                0.64922,                0.89263,               0.008812,               0.008812,               0.008812
                     14,                0.95988,                0.85242,                 1.0834,                0.73685,                0.79789,                0.85001,                  0.753,                0.51411,                0.63998,                0.89149,               0.008713,               0.008713,               0.008713
                     15,                 0.9558,                0.84755,                 1.0806,                0.74381,                0.78707,                0.85035,                 0.7548,                0.50981,                0.64045,                 0.8899,               0.008614,               0.008614,               0.008614
                     16,                0.94655,                0.84231,                 1.0773,                 0.7458,                0.79035,                0.85324,                0.75976,                0.50451,                0.63225,                0.88749,               0.008515,               0.008515,               0.008515
                     17,                0.94172,                0.83808,                 1.0734,                0.75007,                0.78913,                 0.8548,                0.76207,                0.50384,                0.62919,                 0.8855,               0.008416,               0.008416,               0.008416
                     18,                0.93609,                0.83063,                 1.0705,                0.75894,                0.78501,                0.85647,                0.76432,                0.49972,                0.62345,                0.88389,               0.008317,               0.008317,               0.008317
                     19,                0.93143,                0.82872,                 1.0688,                0.75311,                0.79371,                0.85871,                0.76704,                0.49842,                0.62098,                0.88373,               0.008218,               0.008218,               0.008218
                     20,                0.92476,                 0.8242,                 1.0656,                0.75344,                0.79587,                0.85881,                0.76742,                0.49618,                 0.6229,                 0.8835,               0.008119,               0.008119,               0.008119
                     21,                0.92302,                0.81923,                 1.0649,                  0.758,                0.79299,                0.85965,                0.76823,                0.49599,                0.62154,                0.88249,                0.00802,                0.00802,                0.00802
                     22,                0.91895,                0.81561,                 1.0627,                 0.7605,                0.79227,                0.86049,                0.77019,                0.49356,                0.61759,                0.88136,               0.007921,               0.007921,               0.007921
